Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
c_welcome,"Welcome","Welcome,","Vítejte,","Herzlich willkommen,","Добро пожаловать,","Witaj,","Üdvözöljük,","Ben arrivato,","Bienvenidos,","Accueillir,","歡迎,","いらっしゃいませ,","Bem-vindo,","欢迎,"
c_play,"PLAY","PLAY","HRÁT SI","SPIELEN","ИГРАТЬ В","GRAJ","JÁTÉK. ","GIOCARE","DESEMPEÑAR","JOUER","玩","遊ぶ","TOQUE","玩"
c_distance,"Distance traveled by foot","Distance traveled by foot","Překonaná vzdálenost pěšky","Zu Fuß zurückgelegte Strecke","Расстояние, пройденное пешком","Odległość przebyta pieszo","Gyalog megtett távolság","Distanza percorsa a piedi","Distancia recorrida a pie","Distance parcourue à pied","步行距離","徒歩で移動した距離","Distância percorrida a pé","步行距离"
c_maxdist,"Best long range hit of a survivor","Best long range hit of a survivor","Nejlepší dálkový zásah přeživšího","Bester Langstreckentreffer eines Überlebenden","Лучший дальний удар выжившего","Najlepsze trafienie ocalałego z dalekiego zasięgu","A túlélők legjobb hosszú távú találata","Il miglior colpo a lungo raggio di un sopravvissuto","El mejor golpe de largo alcance de un sobreviviente","Meilleur coup à longue portée d'un survivant","倖存者的最佳遠程命中","生存者の最高の長距離ヒット","Melhor golpe de longo alcance de um sobrevivente","幸存者的最佳远程命中"
c_modded,"Copyright © 2023 Bohemia Interactive. All Rights Reserved.","Copyright © 2023 Bohemia Interactive. All Rights Reserved.","Copyright © 2023 Bohemia Interactive. All Rights Reserved.","Copyright © 2023 Bohemia Interactive. All Rights Reserved.","Copyright © 2023 Bohemia Interactive. All Rights Reserved.","Copyright © 2023 Bohemia Interactive. All Rights Reserved.","Copyright © 2023 Bohemia Interactive. All Rights Reserved.","Copyright © 2023 Bohemia Interactive. All Rights Reserved.","Copyright © 2023 Bohemia Interactive. All Rights Reserved.","Copyright © 2023 Bohemia Interactive. All Rights Reserved.","Copyright © 2023 Bohemia Interactive. All Rights Reserved.","Copyright © 2023 Bohemia Interactive. All Rights Reserved.","Copyright © 2023 Bohemia Interactive. All Rights Reserved.","Copyright © 2023 Bohemia Interactive. All Rights Reserved."
c_home,"HOME","HOME","DOMOV","START","ДОМ","HOME","ITTHON","CASA","HOGAR","DOMICILE","家","家","CASA","家"
c_character,"CHARACTER","CHARACTER","CHARAKTER","CHARAKTER","ПЕРСОНАЖ","POSTAĆ","KARAKTER","CARATTERE","PERSONAJE","PERSONNAGE","特點","キャラクター","PERSONAGEM","特点"
c_settings,"SETTINGS","SETTINGS","NASTAVENÍ","EINSTELLUNGEN","НАСТРОЙКИ","USTAWIENIA","BEÁLLÍTÁSOK","IMPOSTAZIONI","AJUSTES","RÉGLAGES","設置","設定","DEFINIÇÕES","设置"
c_exit,"EXIT","EXIT","VÝSTUP","BEENDEN","ВЫХОД","WYJŚCIE","KIJÁRAT","USCITA","SALIDA","SORTIR","出口","出口","SAÍDA","出口"
c_website,"WEBSITE","WEBISTE","WEBISTE","WEBISTE","WEBISTE","STRONA WWW","WEBISTE","WEBISTE","WEBISTE","WEBISTE","WEBISTE","WEBISTE","WEBISTE","WEBISTE"
c_rules,"RULES","RULES","RULES","RULES","RULES","REGULAMIN","RULES","RULES","RULES","RULES","RULES","RULES","RULES","RULES"
c_lore, "LORE","LORE","LORE","LORE","LORE","LORE","LORE","LORE","LORE","LORE","LORE","LORE","LORE","LORE"
